"","UF","ESTRATO_POF","TIPO_SITUACAO_REG","COD_UPA","NUM_DOM","NUM_UC","COD_INFORMANTE","QUADRO","SEQ","V9001","V9013","PESO","PESO_FINAL","RENDA_TOTAL"
"1",11,1103,1,110005400,12,1,1,29,11,2901201,1,272.80666931,372.9845157,2399.89
"2",11,1103,1,110005400,13,1,1,42,7,4200801,1,272.80666931,372.9845157,3795.54
"3",11,1103,1,110005400,13,1,1,42,9,4201001,1,272.80666931,372.9845157,3795.54
"4",11,1103,1,110005400,13,1,1,42,11,4201201,1,272.80666931,372.9845157,3795.54
"5",11,1103,1,110005400,13,1,2,29,3,2900401,1,272.80666931,372.9845157,3795.54
"6",11,1109,2,110020039,7,1,2,42,7,4200801,1,301.43529412,412.12591128,942.64
"7",11,1109,2,110020039,13,1,1,42,4,4200501,2,301.43529412,412.12591128,1289.02
"8",11,1109,2,110020039,14,1,1,29,7,2900801,1,301.43529412,412.12591128,2765.43
"9",11,1109,2,110020039,15,1,2,42,8,4200901,2,301.43529412,412.12591128,3222.86
"10",11,1109,2,110020039,15,1,2,42,10,4201101,2,301.43529412,412.12591128,3222.86
"11",11,1105,1,110017213,6,1,1,42,4,4200501,1,456.22651285,623.75830245,2955.05
"12",11,1105,1,110017213,6,1,1,42,14,4201501,1,456.22651285,623.75830245,2955.05
"13",11,1105,1,110017213,8,1,4,29,37,2904901,1,456.22651285,623.75830245,3385.72
"14",11,1105,1,110017213,11,1,1,29,0,2900101,2,456.22651285,623.75830245,2773.63
"15",11,1110,2,110004584,7,1,2,29,22,2902301,1,421.69117647,576.54118072,3559.43
"16",11,1110,2,110004584,7,1,2,42,16,4201701,2,421.69117647,576.54118072,3559.43
"17",11,1105,1,110000620,11,1,1,29,11,2901201,1,707.69230769,967.56532132,5940.34
"18",11,1105,1,110000620,13,1,2,29,37,2904401,2,707.69230769,967.56532132,2151.57
"19",11,1103,1,110018420,10,1,3,29,37,2902203,1,357.40869393,488.65340773,3131.32
"20",11,1103,1,110018420,10,1,3,42,27,4202801,1,357.40869393,488.65340773,3131.32
"21",11,1103,1,110002334,3,1,1,29,11,2901201,1,384.06429156,525.09725715,1956.03
"22",11,1103,1,110002334,3,1,1,29,12,2901301,1,384.06429156,525.09725715,1956.03
"23",11,1103,1,110019980,1,1,4,42,16,4201701,4,964.24689353,1318.32979564,4311.99
"24",11,1103,1,110019980,10,1,1,42,9,4201001,1,964.24689353,1318.32979564,1537.23
"25",11,1103,1,110019980,10,1,1,42,28,4202901,1,964.24689353,1318.32979564,1537.23
"26",11,1103,1,110019980,10,1,1,42,29,4203001,1,964.24689353,1318.32979564,1537.23
"27",11,1103,1,110019980,12,1,1,42,4,4200501,1,964.24689353,1318.32979564,1728.99
"28",11,1103,1,110010509,3,1,1,42,9,4201001,1,317.70956316,434.37628504,5314.96
"29",11,1103,1,110010509,8,1,1,42,7,4200801,1,317.70956316,434.37628504,5015.43
"30",11,1103,1,110010509,13,1,2,42,5,4200601,2,317.70956316,434.37628504,6088.14
"31",11,1103,1,110005695,7,1,1,42,8,4200901,1,323.68881119,442.5511839,1440.46
"32",11,1103,1,110005695,7,1,1,42,21,4202201,1,323.68881119,442.5511839,1440.46
"33",11,1103,1,110005695,9,1,1,29,10,2901101,1,323.68881119,442.5511839,1797.34
"34",11,1103,1,110005695,9,1,2,29,6,2900701,1,323.68881119,442.5511839,1797.34
"35",11,1103,1,110005695,10,1,1,42,33,4204001,1,323.68881119,442.5511839,2769
"36",11,1103,1,110005695,10,1,1,42,34,4201302,1,323.68881119,442.5511839,2769
"37",11,1103,1,110005695,13,1,1,42,8,4200901,2,323.68881119,442.5511839,2703.53
"38",11,1103,1,110002291,6,1,1,42,4,4200501,4,292.83916084,400.37317585,3649.41
"39",11,1103,1,110002291,6,1,1,42,8,4200901,4,292.83916084,400.37317585,3649.41
"40",11,1103,1,110002291,6,1,1,42,17,4201801,4,292.83916084,400.37317585,3649.41
"41",11,1103,1,110010188,6,1,4,29,11,2901201,1,377.94728103,516.73400776,14690.68
"42",11,1103,1,110010188,6,1,4,29,12,2901301,1,377.94728103,516.73400776,14690.68
"43",11,1103,1,110010188,6,1,4,29,37,2901304,1,377.94728103,516.73400776,14690.68
"44",11,1103,1,110010188,6,1,4,42,6,4200701,1,377.94728103,516.73400776,14690.68
"45",11,1103,1,110010188,6,1,4,42,33,4204001,3,377.94728103,516.73400776,14690.68
"46",11,1103,1,110010188,6,1,4,42,34,4206601,1,377.94728103,516.73400776,14690.68
"47",11,1103,1,110010188,8,1,1,42,33,4206501,2,377.94728103,516.73400776,3477.13
"48",11,1103,1,110010188,10,1,1,42,4,4200501,2,377.94728103,516.73400776,3404.36
"49",11,1105,1,110012387,6,1,3,42,18,4201901,1,231.63619097,316.69574914,6266.16
"50",11,1105,1,110012387,13,1,3,29,0,2900101,1,231.63619097,316.69574914,1975.98
"51",11,1105,1,110012387,13,1,3,42,16,4201701,1,231.63619097,316.69574914,1975.98
"52",11,1105,1,110012387,13,1,4,29,1,2900201,1,231.63619097,316.69574914,1975.98
"53",11,1105,1,110012387,13,1,4,42,4,4200501,1,231.63619097,316.69574914,1975.98
"54",11,1104,1,110017124,5,1,2,29,14,2901501,4,731.4012,999.98040024,686.45
"55",11,1104,1,110017124,5,1,2,29,22,2902301,4,731.4012,999.98040024,686.45
"56",11,1105,1,110019509,1,1,1,42,4,4200501,4,450.14757038,615.44710016,1977.97
"57",11,1105,1,110019509,1,1,1,42,11,4201201,4,450.14757038,615.44710016,1977.97
"58",11,1105,1,110019509,3,1,1,42,4,4200501,4,450.14757038,615.44710016,2500.18
"59",11,1105,1,110019509,3,1,1,42,9,4201001,4,450.14757038,615.44710016,2500.18
"60",11,1105,1,110019509,3,1,1,42,27,4202801,4,450.14757038,615.44710016,2500.18
"61",11,1105,1,110019509,3,1,2,29,37,2904302,2,450.14757038,615.44710016,2500.18
"62",11,1105,1,110019509,4,1,1,29,2,2900301,1,450.14757038,615.44710016,2265.55
"63",11,1105,1,110019509,4,1,1,29,37,2902504,1,450.14757038,615.44710016,2265.55
"64",11,1105,1,110019509,6,1,1,42,4,4200501,2,450.14757038,615.44710016,623.55
"65",11,1105,1,110019509,12,1,1,42,7,4200801,1,450.14757038,615.44710016,2493.48
"66",11,1105,1,110019509,12,1,1,42,9,4201001,1,450.14757038,615.44710016,2493.48
"67",11,1105,1,110019509,12,1,1,42,27,4202801,1,450.14757038,615.44710016,2493.48
"68",11,1106,1,110020900,8,1,2,42,7,4200801,3,249.14265239,340.63079094,3065.74
"69",11,1106,1,110020900,10,1,1,42,33,4204301,2,249.14265239,340.63079094,4801.57
"70",11,1106,1,110020900,10,1,1,42,34,4200901,2,249.14265239,340.63079094,4801.57
"71",11,1106,1,110020900,10,1,1,42,35,4201101,2,249.14265239,340.63079094,4801.57
"72",11,1106,1,110020900,11,1,2,29,37,2900903,1,249.14265239,340.63079094,2617.09
