"","UF","ESTRATO_POF","TIPO_SITUACAO_REG","COD_UPA","NUM_DOM","NUM_UC","QUADRO","SEQ","V9001","V9002","V8000","V9010","V9011","V1904","V1905","DEFLATOR","V8000_DEFLA","V1904_DEFLA","COD_IMPUT_VALOR","FATOR_ANUALIZACAO","PESO","PESO_FINAL","RENDA_TOTAL","V9004"
"1",11,1105,1,110000620,4,1,8,23,802401,7,300,NA,NA,NA,NA,0.9967280592,299.02,NA,0,4,707.69230769,967.56532132,852.91,7502
"2",11,1105,1,110000620,4,1,10,0,1000101,7,200,4,12,NA,NA,0.9938702537,198.77,NA,0,1,707.69230769,967.56532132,852.91,NA
"3",11,1105,1,110000620,4,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0088271199,100.21,NA,1,1,707.69230769,967.56532132,852.91,NA
"4",11,1105,1,110000620,7,1,12,3,1200401,7,9999999.99,NA,NA,NA,NA,1.0254186857,65.36,NA,1,1,707.69230769,967.56532132,2721.33,NA
"5",11,1105,1,110000620,10,1,6,0,600101,7,1180,NA,NA,NA,NA,0.8895591089,161.57,NA,1,12,707.69230769,967.56532132,515.55,NA
"6",11,1105,1,110000620,11,1,6,0,600101,7,350,NA,NA,NA,NA,0.8815315531,308.54,NA,0,12,707.69230769,967.56532132,5940.34,NA
"7",11,1103,1,110002334,2,1,10,0,1000101,7,300,3,12,NA,NA,0.9934473662,298.03,NA,0,1,384.06429156,525.09725715,4017.97,NA
"8",11,1103,1,110005695,1,1,19,1,1900201,7,9999999.99,9,12,NA,3,1.0172457953,82.23,NA,1,1,323.68881119,442.5511839,2229.23,NA
"9",11,1103,1,110002291,10,1,6,4,600501,7,70,NA,NA,NA,NA,1,70,NA,0,12,292.83916084,400.37317585,1250.32,NA
"10",11,1103,1,110010188,11,1,13,1,1300201,7,10,NA,NA,NA,NA,1.018486917,10.18,NA,0,1,377.94728103,516.73400776,2642.93,NA
"11",11,1105,1,110012387,10,1,8,22,802301,7,9999999.99,NA,NA,NA,NA,0.9444500806,22.25,NA,1,4,231.63619097,316.69574914,4075.64,7502
"12",11,1105,1,110019509,3,1,11,19,1102001,7,300,NA,NA,NA,NA,1.043793011,313.14,NA,0,1,450.14757038,615.44710016,2500.18,7502
"13",11,1105,1,110019509,8,1,13,1,1300201,7,150,NA,NA,NA,NA,1.0111058824,151.67,NA,0,1,450.14757038,615.44710016,1830.56,NA
"14",11,1105,1,110006184,5,1,6,4,600501,7,40,NA,NA,NA,NA,1,40,NA,0,12,463.17631978,633.26016096,8157.02,NA
"15",11,1105,1,110006184,5,1,12,3,1200401,7,150,NA,NA,NA,NA,1.0946546874,164.2,NA,0,1,463.17631978,633.26016096,8157.02,NA
"16",11,1105,1,110006184,8,1,19,1,1900201,9,80,7,3,NA,3,1.0278640442,82.23,NA,0,1,463.17631978,633.26016096,3660.8,NA
"17",11,1105,1,110006893,4,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0088271199,30.8,NA,1,1,759.35579572,1038.20025525,2815.48,NA
"18",11,1105,1,110006893,5,1,11,19,1102001,10,500,NA,NA,NA,NA,1.0118696933,505.93,NA,0,1,759.35579572,1038.20025525,6975.63,1501
"19",11,1105,1,110006893,8,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0029875829,20.56,NA,1,1,759.35579572,1038.20025525,6578,NA
"20",11,1105,1,110006893,10,1,10,5,1000601,7,150,5,1,NA,NA,0.9869896081,148.05,NA,0,1,759.35579572,1038.20025525,5361,NA
"21",11,1105,1,110006893,13,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,0.9962904572,30.8,NA,1,1,759.35579572,1038.20025525,1231.02,NA
"22",11,1105,1,110020167,3,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0224612163,10.18,NA,1,1,682.14372619,932.63499751,8321.23,NA
"23",11,1105,1,110020167,7,1,6,1,600201,11,9999999.99,NA,NA,NA,NA,1.2327766267,42.47,NA,1,12,682.14372619,932.63499751,4624.76,NA
"24",11,1105,1,110020167,13,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0021455224,50.11,NA,1,1,682.14372619,932.63499751,6090.27,NA
"25",11,1105,1,110022774,6,1,10,5,1000601,7,120,4,1,NA,NA,1.0813088301,129.76,NA,0,1,501.37330754,685.48353591,2235.42,NA
"26",11,1105,1,110022774,6,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0128217215,30.5,NA,1,1,501.37330754,685.48353591,2235.42,NA
"27",11,1105,1,110022774,7,1,6,0,600101,7,60,NA,NA,NA,NA,0.9764991232,58.59,NA,0,12,501.37330754,685.48353591,5167.69,NA
"28",11,1105,1,110022774,7,1,6,1,600201,7,40,NA,NA,NA,NA,0.9467679997,37.87,NA,0,12,501.37330754,685.48353591,5167.69,NA
"29",11,1105,1,110022774,7,1,12,6,1200701,7,9999999.99,NA,NA,NA,NA,1.0698953344,62.62,NA,1,1,501.37330754,685.48353591,5167.69,NA
"30",11,1105,1,110022774,12,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.018486917,30.8,NA,1,1,501.37330754,685.48353591,1609.42,NA
"31",11,1107,1,110001197,6,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0224612163,81.48,NA,1,1,354.56707317,484.76831012,1344.09,NA
"32",11,1107,1,110001197,7,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.026662844,10.18,NA,1,1,354.56707317,484.76831012,8686.38,NA
"33",11,1107,1,110001197,9,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0021455224,30.8,NA,1,1,354.56707317,484.76831012,2412.92,NA
"34",11,1107,1,110001197,13,1,6,0,600101,11,9999999.99,NA,NA,NA,NA,0.9033568837,120,NA,1,12,354.56707317,484.76831012,609.55,NA
"35",11,1107,1,110001197,13,1,12,3,1200401,7,800,NA,NA,NA,NA,1.0893163551,871.45,NA,0,1,354.56707317,484.76831012,609.55,NA
"36",11,1106,1,110018605,3,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,0.8928566066,77.75,NA,1,12,517.92844365,708.11791446,1311.56,NA
"37",11,1110,2,110009642,12,1,6,0,600101,7,146,NA,NA,NA,NA,0.8843329237,129.11,NA,0,12,434.95996636,594.68242772,1164.19,NA
"38",11,1106,1,110019802,7,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0128217215,81.48,NA,1,1,418.10199694,571.63401187,12826.32,NA
"39",11,1110,2,110017886,3,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0281366638,24.31,NA,1,1,378.56301743,517.57584987,1353.63,NA
"40",11,1110,2,110017886,4,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0281366638,50.11,NA,1,1,378.56301743,517.57584987,3240.96,NA
"41",11,1110,2,110017886,6,1,10,0,1000101,7,9999999.99,9,12,NA,NA,1.0378733997,298.03,NA,1,1,378.56301743,517.57584987,4557.65,NA
"42",11,1110,2,110017886,6,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0281366638,30.5,NA,1,1,378.56301743,517.57584987,4557.65,NA
"43",11,1110,2,110017886,8,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0111058824,203.7,NA,1,1,378.56301743,517.57584987,11421.52,NA
"44",11,1110,2,110017886,9,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0111058824,30.38,NA,1,1,378.56301743,517.57584987,2928.71,NA
"45",11,1110,2,110017886,12,1,10,6,1000701,7,9999999.99,10,6,NA,NA,1.0365214402,15.55,NA,1,1,378.56301743,517.57584987,1505.61,NA
"46",11,1110,2,110017886,12,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0111058824,50.11,NA,1,1,378.56301743,517.57584987,1505.61,NA
"47",11,1110,2,110017886,13,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,NA,50.11,NA,0,1,378.56301743,517.57584987,4441.95,NA
"48",11,1110,2,110017886,16,1,6,0,600101,7,103.1,NA,NA,NA,NA,0.919743783,94.83,NA,0,12,378.56301743,517.57584987,3833.78,NA
"49",11,1110,2,110017886,16,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0124399208,30.38,NA,1,1,378.56301743,517.57584987,3833.78,NA
"50",11,1110,2,110017886,17,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0124399208,30.38,NA,1,1,378.56301743,517.57584987,2667.53,NA
"51",11,1110,2,110007280,1,1,6,0,600101,7,220,NA,NA,NA,NA,0.9998250835,219.96,NA,0,12,190.4584689,260.39707886,5772.23,NA
"52",11,1110,2,110007280,2,1,11,19,1102001,7,7000,NA,NA,NA,NA,1.0656994251,7459.9,NA,0,1,190.4584689,260.39707886,2632.15,7501
"53",11,1110,2,110007280,2,1,11,24,1199901,7,4000,NA,NA,NA,NA,1.0249086363,4099.63,NA,0,1,190.4584689,260.39707886,2632.15,2101
"54",11,1110,2,110007280,9,1,8,22,802301,10,600,NA,NA,NA,NA,0.9317823892,559.07,NA,0,4,190.4584689,260.39707886,52603.14,7508
"55",11,1110,2,110007280,11,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,0.8980620171,273.42,NA,1,12,190.4584689,260.39707886,1767.63,NA
"56",11,1110,2,110007280,14,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,0.9039745617,173.77,NA,1,12,190.4584689,260.39707886,1821.24,NA
"57",11,1110,2,110007280,17,1,13,1,1300201,7,50,NA,NA,NA,NA,1.0021455224,50.11,NA,0,1,190.4584689,260.39707886,3346.1,NA
"58",11,1110,2,110007136,1,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.016655626,30.38,NA,1,1,347.50446429,475.11222744,1818.17,NA
"59",11,1110,2,110007136,2,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.016655626,20.56,NA,1,1,347.50446429,475.11222744,7073.55,NA
"60",11,1110,2,110007136,3,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,0.9867035659,68.03,NA,1,12,347.50446429,475.11222744,1636.51,NA
"61",11,1110,2,110007136,6,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0128217215,50.11,NA,1,1,347.50446429,475.11222744,6340.66,NA
"62",11,1110,2,110007136,8,1,13,1,1300201,7,30,NA,NA,NA,NA,1.0128217215,30.38,NA,0,1,347.50446429,475.11222744,705.1,NA
"63",11,1110,2,110007136,9,1,11,19,1102001,10,400,NA,NA,NA,NA,1.0224109253,408.96,NA,0,1,347.50446429,475.11222744,2921.78,1501
"64",11,1110,2,110007136,11,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.018486917,80.89,NA,1,1,347.50446429,475.11222744,4017.63,NA
"65",11,1110,2,110007136,12,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.018486917,10.18,NA,1,1,347.50446429,475.11222744,2680.62,NA
